epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,12014.5,1.88824,1.08368,1.03077,1.58006,0.79528,0.94447,1.09666,0.632629,0.58149,0.598024,0.352029,nan,nan,nan,nan,nan,nan,nan,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207,0.0273662,0.00912207
79,12165,1.8833,1.07155,1.02606,1.5854,0.80013,0.94363,1.17444,0.634722,0.581916,0.598902,0.352766,nan,nan,nan,nan,nan,nan,nan,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
80,12316.1,1.86815,1.06752,1.02427,1.5713,0.79696,0.94667,1.20432,0.636484,0.583125,0.599921,0.353842,nan,nan,nan,nan,nan,nan,nan,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736,0.0272321,0.00907736
81,12466.8,1.87061,1.0644,1.02191,1.57151,0.79596,0.94214,1.10641,0.634575,0.583244,0.600035,0.354813,nan,nan,nan,nan,nan,nan,nan,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
82,12617.8,1.87195,1.06554,1.02593,1.57783,0.79698,0.94594,1.1162,0.632275,0.58389,0.600009,0.354997,nan,nan,nan,nan,nan,nan,nan,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166
83,12768.8,1.86427,1.06408,1.02388,1.5665,0.79048,0.94143,1.12744,0.631572,0.584155,0.600932,0.355367,nan,nan,nan,nan,nan,nan,nan,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
84,12918.7,1.86697,1.05618,1.02046,1.56271,0.78937,0.93824,1.11549,0.631903,0.583503,0.60113,0.355962,nan,nan,nan,nan,nan,nan,nan,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497
85,13070.3,1.87186,1.05707,1.02357,1.56709,0.78848,0.94357,1.08779,0.635942,0.583572,0.601643,0.356524,nan,nan,nan,nan,nan,nan,nan,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
86,13221.5,1.85994,1.05437,1.01745,1.57255,0.78986,0.94107,1.10653,0.638312,0.584314,0.602243,0.357292,nan,nan,nan,nan,nan,nan,nan,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
87,13372.7,1.8586,1.05546,1.0178,1.56352,0.78449,0.93979,1.12835,0.636096,0.585953,0.60271,0.357795,nan,nan,nan,nan,nan,nan,nan,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
88,13522.7,1.84815,1.03971,1.0178,1.55601,0.78811,0.94258,1.05654,0.636755,0.586705,0.603395,0.358593,nan,nan,nan,nan,nan,nan,nan,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887
89,13673.5,1.85127,1.04449,1.01752,1.55625,0.78546,0.93791,1.09834,0.637687,0.586911,0.603793,0.359618,nan,nan,nan,nan,nan,nan,nan,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
90,13823.9,1.8394,1.03523,1.0154,1.5574,0.78184,0.93825,1.13105,0.638954,0.586188,0.604025,0.359981,nan,nan,nan,nan,nan,nan,nan,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914
91,13975,1.8334,1.03302,1.00948,1.54693,0.77271,0.93372,1.07298,0.637861,0.587604,0.604023,0.360374,nan,nan,nan,nan,nan,nan,nan,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
92,14126.5,1.83354,1.0316,1.01118,1.53993,0.7719,0.93402,1.05993,0.637857,0.588935,0.604495,0.360987,nan,nan,nan,nan,nan,nan,nan,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864,0.0263659,0.00878864
93,14276.8,1.81895,1.02733,1.01004,1.54335,0.77251,0.93691,1.08529,0.63871,0.588572,0.604747,0.361518,nan,nan,nan,nan,nan,nan,nan,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
94,14428.4,1.82566,1.02322,1.00759,1.539,0.77697,0.93352,1.06587,0.638895,0.588486,0.605294,0.36226,nan,nan,nan,nan,nan,nan,nan,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723,0.0262117,0.00873723
95,14580.8,1.82709,1.02109,1.01172,1.54888,0.7739,0.93808,1.05291,0.64065,0.588745,0.606281,0.36296,nan,nan,nan,nan,nan,nan,nan,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
96,14732.5,1.81101,1.01841,1.00507,1.53982,0.77355,0.93423,1.02124,0.643457,0.589262,0.607511,0.363421,nan,nan,nan,nan,nan,nan,nan,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849,0.0260547,0.0086849
