epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,12726.2,1.86729,1.06562,1.02166,1.56199,0.79332,0.94122,2.41687,0.633856,0.590611,0.602151,0.353786,nan,nan,nan,nan,nan,nan,nan,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166,0.027095,0.00903166
83,12877.7,1.86512,1.05945,1.02083,1.56572,0.79117,0.946,2.49571,0.633073,0.590625,0.602139,0.354777,nan,nan,nan,nan,nan,nan,nan,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
84,13026,1.86891,1.06084,1.01708,1.56348,0.78876,0.93994,2.43388,0.635705,0.590209,0.603218,0.355585,nan,nan,nan,nan,nan,nan,nan,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497,0.0269549,0.00898497
85,13176.8,1.86639,1.0586,1.01581,1.5636,0.79135,0.94117,2.40212,0.631424,0.592031,0.604132,0.356409,nan,nan,nan,nan,nan,nan,nan,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
86,13328.4,1.85297,1.05501,1.01202,1.56795,0.79045,0.94046,2.40188,0.634151,0.591509,0.604272,0.356601,nan,nan,nan,nan,nan,nan,nan,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
87,13480.4,1.85563,1.04524,1.01034,1.55992,0.78395,0.9374,2.3966,0.63713,0.59002,0.604633,0.357027,nan,nan,nan,nan,nan,nan,nan,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
88,13633.5,1.85482,1.04809,1.01777,1.55492,0.78727,0.94263,2.41214,0.63588,0.591475,0.605022,0.357755,nan,nan,nan,nan,nan,nan,nan,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887,0.0266661,0.0088887
89,13787.7,1.84135,1.03971,1.01052,1.552,0.78317,0.93687,2.4251,0.641305,0.590114,0.605586,0.358902,nan,nan,nan,nan,nan,nan,nan,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
90,13941.5,1.83242,1.03459,1.01051,1.54771,0.77464,0.94037,2.47061,0.643479,0.589962,0.606109,0.359345,nan,nan,nan,nan,nan,nan,nan,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914,0.0265174,0.00883914
91,14095.1,1.83392,1.03457,1.00707,1.54663,0.77733,0.93585,2.39952,0.636477,0.59269,0.606833,0.360058,nan,nan,nan,nan,nan,nan,nan,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
